Neighborhood,American Indian or Alaska Native,Asian,Black or African American,Middle Eastern or North African,Native Hawaiian or other Pacific Islander,Other,Prefer not to say,White
East_Boston,4.07,6.63,12.88,3.87,0.38,11.71,10.29,58.13
North_Cambridge,1.69,22.41,20.67,2.26,0.0,5.27,3.36,52.32
South_Boston,2.41,11.14,27.13,1.45,0.3,5.07,3.43,55.29
Downtown,5.25,21.71,33.19,5.06,0.34,8.59,7.32,88.47
Back_Bay,1.85,16.37,18.02,2.81,0.57,3.77,2.73,60.24
Dorchester,1.58,13.13,45.38,2.05,0.21,6.36,4.57,32.63
Assembly_Square,5.65,15.72,19.24,4.98,0.77,7.0,3.83,55.6
Somerville,3.82,12.52,18.31,2.07,0.49,2.96,1.21,65.65
Beacon_Hill,1.03,15.03,15.17,1.26,0.85,16.56,4.81,50.14
Braintree,2.34,13.37,29.91,3.63,0.0,6.57,2.83,46.48
Central_Square,2.32,16.14,24.9,3.09,0.08,5.64,4.3,48.6
West_End,2.38,22.13,31.3,4.43,0.44,5.75,5.2,88.05
Chinatown,1.75,22.54,23.33,2.06,0.67,5.53,3.22,47.86
Charlestown,2.54,16.24,21.57,4.11,0.68,7.04,5.0,51.65
Davis_Square,1.78,15.24,19.04,2.79,0.0,2.22,2.84,62.59
Jamaica_Plain,3.52,9.65,39.65,2.24,0.16,6.59,4.44,43.47
Harvard_Square,2.99,21.5,17.13,3.43,0.49,2.41,3.27,56.95
Kendall_Square,1.79,28.04,14.11,2.83,0.37,4.46,2.64,53.71
Fenway,1.96,17.83,17.88,2.87,0.38,5.48,3.5,57.57
Malden,3.17,21.49,18.15,3.93,0.31,6.03,3.87,51.4
Medford,2.46,19.84,16.15,3.39,0.54,5.44,1.7,57.33
North_Quincy,1.44,27.37,22.38,2.46,0.27,5.25,2.86,43.84
Porter_Square,1.6,16.64,18.47,3.1,0.2,6.49,3.25,56.62
South_Quincy,0.59,22.65,26.46,2.55,0.0,2.16,2.13,50.57
Quincy_Center,1.81,20.66,25.38,2.79,0.3,4.95,2.99,48.81
Revere,5.74,8.65,15.43,5.83,0.6,10.07,8.06,55.41
Roxbury,2.83,17.79,38.75,2.59,0.13,4.27,3.6,36.33
Union_Square,5.77,20.18,14.8,3.21,0.47,3.14,0.25,61.13
Wollaston,4.15,29.13,21.33,3.28,0.0,3.42,1.0,44.79
